## There are #18 experiments in this file
## 001 -- alpha_factor_release_sample013
## 002 -- alpha_factor_release_sample014
## 003 -- alpha_factor_release_sample015
## 004 -- alpha_factor_release_sample016
## 005 -- alpha_factor_release_sample017
## 006 -- alpha_factor_release_sample018
## 007 -- alpha_factor_release_sample019
## 008 -- alpha_factor_release_sample020
## 009 -- alpha_factor_release_sample021
## 010 -- alpha_factor_release_sample022
## 011 -- alpha_factor_release_sample023
## 012 -- alpha_factor_release_sample024
## 013 -- alpha_factor_release_sample025
## 014 -- alpha_factor_release_sample026
## 015 -- alpha_factor_release_sample027
## 016 -- alpha_factor_release_sample028
## 017 -- alpha_factor_release_sample029
## 018 -- alpha_factor_release_sample030
ID	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015	alpha_factor_release_sample016	alpha_factor_release_sample017	alpha_factor_release_sample018	alpha_factor_release_sample019	alpha_factor_release_sample020	alpha_factor_release_sample021	alpha_factor_release_sample022	alpha_factor_release_sample023	alpha_factor_release_sample024	alpha_factor_release_sample025	alpha_factor_release_sample026	alpha_factor_release_sample027	alpha_factor_release_sample028	alpha_factor_release_sample029	alpha_factor_release_sample030
ykl208w	-0.38	-1.01	-0.92	-0.65	-1.94	-0.14	-0.32	-0.56	-0.12	-0.98	-0.08	-0.44	-0.41	-0.87	-1.24	-0.49	-0.59	-0.1
ykr018c	0.56	0.55	0.62	0.65	0.38	0.39	0.3	0.29	0.22	0.52	0.24	0.26	0.28	0.14	0.44	0.11	0.5	0.14
ykr019c	-0.2	0.65	-0.31	-0.09	-0.3	-0.46	-0.24	-0.49	-0.21	0.09	-0.2	-0.21	-0.34	-0.08	0.1	-0.37	0.24	-0.23
ykr020w	0.17	0.3	0.28	0.03	0.15	-0.23	-0.07	0.13	-0.15	-0.18	-0.11	-0.36	0.01	-0.69	-0.14	-0.09	0.32	-0.11
ykr021w	-0.39	-0.26	-0.23	-0.69	-0.83	-0.65	-0.07	-0.2	0.11	0.19	-0.24	-0.15	-0.49	-0.07	-0.41	-0.11	0.04	-0.29
ykl207w	-0.49	-0.49	-0.33	-0.26	-0.06	-0.23	-0.29	-0.02	0.16	-0.11	0.11	-0.21	0.01	0.15	0.2	0.18	-0.34	-0.58
ykr022c	-0.04	-0.28	0.09	-0.11	-0.15	-0.18	0.06	0.32	0.16	-0.17	-0.24	-0.09	-0.02	-0.48	-0.25	-0.09	0.54	0.12
ykr023w	0.17	0.23	0.02	0.11	-0.34	0	0.03	-0.25	0.01	0.02	-0.24	-0.3	-0.17	-0.14	-0.25	-0.02	-0.36	0.22
ykr024c	0.03	-0.97	-0.95	-0.2	-0.06	-0.25	0.26	0.01	0.06	-0.03	-0.19	-0.27	0.25	-0.17	0.12	0.19	0.25	-0.14
ykr025w	0	-0.23	-0.52	-0.04	-0.64	0	-0.07	NA	0.19	0.28	-0.06	-0.01	-0.04	-0.21	-0.17	-0.01	-0.11	0.09
ykr026c	0.29	-0.31	-0.32	0.16	-0.05	-0.18	-0.17	-0.07	0.18	0.02	0.07	-0.13	0.12	-0.32	-0.12	-0.16	-0.28	NA
ykl206c	-0.22	-0.1	-0.52	-0.49	-0.93	-0.29	-0.14	-0.3	-0.11	-0.56	-0.34	-0.27	-0.27	-0.28	-0.74	-0.34	-0.24	-0.23
ykr027w	0.18	0.5	0.23	0.5	-0.39	0.47	-0.03	0.14	0.22	0.57	0.17	0.5	0.11	0.23	0.06	0.51	0.28	0.35
ykr028w	-0.33	-0.23	-0.71	-0.31	-0.42	-0.46	-0.27	-0.26	-0.15	-0.02	-0.03	0.17	-0.02	-0.03	-0.07	0.23	-0.25	0.01
ykr029c	NA	-0.18	NA	-1.43	-1.07	-0.31	-0.55	0.07	-0.18	0.33	-0.41	-1.22	-0.57	-0.1	-0.25	-0.15	-0.27	-0.27
ykr030w	0.07	-0.08	-0.23	-0.03	-0.28	0.18	-0.04	0.31	0.19	0.04	0.07	-0.14	0.05	-0.07	-0.01	0.02	0.18	-0.03
ykl205w	-0.11	-0.7	-0.33	-0.2	0.18	-0.22	-0.35	-0.03	0.33	0.05	1.04	0.13	-0.17	0.28	0.5	0.55	-0.41	-0.37
ykr031c	NA	-0.43	-1.32	-0.77	NA	-0.09	-0.23	NA	-0.2	0.11	-0.12	-0.18	-0.37	0.25	-0.2	0.28	-0.39	-0.2
ykr032w	-0.21	-0.02	-0.16	-0.14	-0.42	0.29	-0.32	0.29	0.02	0.04	-0.2	-0.16	0.03	-0.04	-0.49	0.18	-0.34	-0.1
ykr033c	-0.82	0.05	NA	-0.28	NA	0.23	-0.43	0.04	-0.33	-0.32	-0.63	-0.87	-0.39	-0.09	-1.4	-0.17	-0.06	-0.2
ykr035c	-0.17	0.34	-0.4	0.2	-1.24	0.28	-0.38	0.13	0	0.14	0.2	0.08	-0.04	-0.08	-0.43	0.26	0.03	0.12
ykr036c	-0.07	-0.19	-0.59	-0.18	-0.45	0.06	-0.3	-0.1	0.09	-0.2	-0.23	-0.4	-0.11	-0.12	-0.21	0.32	-0.19	-0.03
ykr037c	-0.49	-0.91	-0.59	-0.23	-1.71	-0.36	-0.3	-1.45	-0.19	-0.24	-0.74	-0.29	-0.34	-0.09	-0.23	-0.25	0.12	-0.26
ykr038c	-0.42	-0.31	-0.35	-0.61	-0.19	-0.57	-0.06	-0.43	-0.28	-0.3	-0.39	-0.47	-0.01	-0.4	-0.19	-0.3	-0.09	-0.41
ykr039w	-0.15	1.3	0.29	-0.39	-0.07	-0.36	0.01	-1.81	0.02	-0.2	-0.89	-0.35	-0.1	-0.12	NA	0.09	0.24	-0.26
ykr040c	-0.36	-0.04	-0.96	-0.16	-0.58	0.1	-0.2	0.31	-0.3	-0.42	-0.78	-0.59	-0.11	-0.49	-0.14	-0.14	0.6	-0.3
ykr041w	-0.71	-0.85	-0.72	-0.72	-0.27	-0.68	-0.11	-0.14	-0.33	-0.23	-0.64	-0.47	-0.48	-0.49	-0.34	-0.1	0.11	-0.19
