## There are #18 experiments in this file			
## 001 -- alpha_factor_release_sample013			
## 002 -- alpha_factor_release_sample014			
## 003 -- alpha_factor_release_sample015			
ID	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015
ykl208w	-0.38	-1.01	-0.92
ykr018c	0.56	0.55	0.62
ykr019c	-0.2	0.65	-0.31
ykr020w	0.17	0.3	0.28
ykr021w	-0.39	-0.26	-0.23
ykl207w	-0.49	-0.49	-0.33
ykr022c	-0.04	-0.28	0.09
ykr023w	0.17	0.23	0.02
ykr024c	0.03	-0.97	-0.95
ykr025w	0	-0.23	-0.52
ykr026c	0.29	-0.31	-0.32
ykl206c	-0.22	-0.1	-0.52
ykr027w	0.18	0.5	0.23
ykr028w	-0.33	-0.23	-0.71
ykr029c	NA	-0.18	NA
ykr030w	0.07	-0.08	-0.23
ykl205w	-0.11	-0.7	-0.33
ykr031c	NA	-0.43	-1.32
ykr032w	-0.21	-0.02	-0.16
ykr033c	-0.82	0.05	NA
ykr035c	-0.17	0.34	-0.4
ykr036c	-0.07	-0.19	-0.59
ykr037c	-0.49	-0.91	-0.59
ykr038c	-0.42	-0.31	-0.35
ykr039w	-0.15	1.3	0.29
ykr040c	-0.36	-0.04	-0.96
ykr041w	-0.71	-0.85	-0.72
ykr042w	1.56	1.09	1.02
ykr043c	0.35	0.89	0.18
ykr044w	-0.17	-0.78	-0.37
ykr045c	-0.25	-0.08	-0.21
ykr046c	0.02	-0.31	-0.11
ykr047w	0.17	0.1	0.12
ykr048c	0.19	-0.19	0.04
ykr049c	-0.07	0.04	-0.04
ykr050w	0.31	-0.28	-0.02
ykr051w	-0.62	-0.27	-1
ykr052c	0.26	0.15	0.4
ykr053c	-0.62	-0.34	-0.93
ykr054c	-0.31	-0.91	-1.16
ykl204w	-0.31	0.04	-0.77
ykr055w	-0.28	-0.48	-1.58
ykr056w	-0.03	-1.31	-0.96
ykr057w	-0.22	0.02	-0.43
ykr058w	0.1	0.6	-0.11
ykr059w	0.5	0.45	0.18
ykr060w	0.14	-0.39	-0.85
ykr061w	1.28	0.66	-0.45
ykr062w	0.15	0.05	-0.01
ykl203c	-0.69	0.64	0.07
ykr063c	-0.12	-0.64	-0.53
ykr064w	-0.17	-0.68	-0.12
ykr065c	-0.1	-0.07	-0.05
ykr066c	-0.1	-0.2	0.36
ykr067w	-0.36	0.53	0.38
ykr068c	-0.15	NA	-0.16
ykr069w	-0.35	0.41	-0.65
ykr070w	-0.01	-0.39	-0.07
ykr071c	0.13	-0.16	-0.28
ykr072c	0.44	0.08	-0.18
ykr073c	-0.41	0.15	-1.23
ykr074w	0.42	0.3	0.15
ykr075c	-0.21	-0.07	0.59
ykr076w	0.42	0.67	0.77
ykr077w	-0.69	0.58	1.5
ykr078w	0.06	0.39	-0.55
