YORF	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015	alpha_factor_release_sample016	alpha_factor_release_sample017	alpha_factor_release_sample018	alpha_factor_release_sample019	alpha_factor_release_sample020	alpha_factor_release_sample021	alpha_factor_release_sample022	alpha_factor_release_sample023	alpha_factor_release_sample024	alpha_factor_release_sample025	alpha_factor_release_sample026	alpha_factor_release_sample027	alpha_factor_release_sample028	alpha_factor_release_sample029	alpha_factor_release_sample030
YKL208W	-0.38	-1.01	-0.92	-0.65	-1.94	-0.14	-0.32	-0.56	-0.12	-0.98	-0.08	-0.44	-0.41	-0.87	-1.24	-0.49	-0.59	-0.1
YKR018C	0.56	0.55	0.62	0.65	0.38	0.39	0.3	0.29	0.22	0.52	0.24	0.26	0.28	0.14	0.44	0.11	0.5	0.14
YKR019C	-0.2	0.65	-0.31	-0.09	-0.3	-0.46	-0.24	-0.49	-0.21	0.09	-0.2	-0.21	-0.34	-0.08	0.1	-0.37	0.24	-0.23
YKR020W	0.17	0.3	0.28	0.03	0.15	-0.23	-0.07	0.13	-0.15	-0.18	-0.11	-0.36	0.01	-0.69	-0.14	-0.09	0.32	-0.11
YKR021W	-0.39	-0.26	-0.23	-0.69	-0.83	-0.65	-0.07	-0.2	0.11	0.19	-0.24	-0.15	-0.49	-0.07	-0.41	-0.11	0.04	-0.29
YKL207W	-0.49	-0.49	-0.33	-0.26	-0.06	-0.23	-0.29	-0.02	0.16	-0.11	0.11	-0.21	0.01	0.15	0.2	0.18	-0.34	-0.58
YKR022C	-0.04	-0.28	0.09	-0.11	-0.15	-0.18	0.06	0.32	0.16	-0.17	-0.24	-0.09	-0.02	-0.48	-0.25	-0.09	0.54	0.12
YKR023W	0.17	0.23	0.02	0.11	-0.34	0	0.03	-0.25	0.01	0.02	-0.24	-0.3	-0.17	-0.14	-0.25	-0.02	-0.36	0.22
YKR024C	0.03	-0.97	-0.95	-0.2	-0.06	-0.25	0.26	0.01	0.06	-0.03	-0.19	-0.27	0.25	-0.17	0.12	0.19	0.25	-0.14
YKR025W	0	-0.23	-0.52	-0.04	-0.64	0	-0.07	0	0.19	0.28	-0.06	-0.01	-0.04	-0.21	-0.17	-0.01	-0.11	0.09
YKR026C	0.29	-0.31	-0.32	0.16	-0.05	-0.18	-0.17	-0.07	0.18	0.02	0.07	-0.13	0.12	-0.32	-0.12	-0.16	-0.28	0
YKL206C	-0.22	-0.1	-0.52	-0.49	-0.93	-0.29	-0.14	-0.3	-0.11	-0.56	-0.34	-0.27	-0.27	-0.28	-0.74	-0.34	-0.24	-0.23
YKR027W	0.18	0.5	0.23	0.5	-0.39	0.47	-0.03	0.14	0.22	0.57	0.17	0.5	0.11	0.23	0.06	0.51	0.28	0.35
YKR028W	-0.33	-0.23	-0.71	-0.31	-0.42	-0.46	-0.27	-0.26	-0.15	-0.02	-0.03	0.17	-0.02	-0.03	-0.07	0.23	-0.25	0.01
YKR029C	0	-0.18	0	-1.43	-1.07	-0.31	-0.55	0.07	-0.18	0.33	-0.41	-1.22	-0.57	-0.1	-0.25	-0.15	-0.27	-0.27
YKR030W	0.07	-0.08	-0.23	-0.03	-0.28	0.18	-0.04	0.31	0.19	0.04	0.07	-0.14	0.05	-0.07	-0.01	0.02	0.18	-0.03
YKL205W	-0.11	-0.7	-0.33	-0.2	0.18	-0.22	-0.35	-0.03	0.33	0.05	1.04	0.13	-0.17	0.28	0.5	0.55	-0.41	-0.37
YKR031C	0	-0.43	-1.32	-0.77	0	-0.09	-0.23	0	-0.2	0.11	-0.12	-0.18	-0.37	0.25	-0.2	0.28	-0.39	-0.2
YKR032W	-0.21	-0.02	-0.16	-0.14	-0.42	0.29	-0.32	0.29	0.02	0.04	-0.2	-0.16	0.03	-0.04	-0.49	0.18	-0.34	-0.1
YKR033C	-0.82	0.05	0	-0.28	0	0.23	-0.43	0.04	-0.33	-0.32	-0.63	-0.87	-0.39	-0.09	-1.4	-0.17	-0.06	-0.2
YKR034W	-0.32	-0.63	-1.36	-0.91	-1.1	-0.39	-0.66	-0.02	-0.21	-0.36	-0.37	-0.79	-0.2	-0.31	-0.88	-0.04	-0.4	-0.7
YKR035C	-0.17	0.34	-0.4	0.2	-1.24	0.28	-0.38	0.13	0	0.14	0.2	0.08	-0.04	-0.08	-0.43	0.26	0.03	0.12
YKR036C	-0.07	-0.19	-0.59	-0.18	-0.45	0.06	-0.3	-0.1	0.09	-0.2	-0.23	-0.4	-0.11	-0.12	-0.21	0.32	-0.19	-0.03
YKR037C	-0.49	-0.91	-0.59	-0.23	-1.71	-0.36	-0.3	-1.45	-0.19	-0.24	-0.74	-0.29	-0.34	-0.09	-0.23	-0.25	0.12	-0.26
YKR038C	-0.42	-0.31	-0.35	-0.61	-0.19	-0.57	-0.06	-0.43	-0.28	-0.3	-0.39	-0.47	-0.01	-0.4	-0.19	-0.3	-0.09	-0.41
YKR039W	-0.15	1.3	0.29	-0.39	-0.07	-0.36	0.01	-1.81	0.02	-0.2	-0.89	-0.35	-0.1	-0.12	0	0.09	0.24	-0.26
YKR040C	-0.36	-0.04	-0.96	-0.16	-0.58	0.1	-0.2	0.31	-0.3	-0.42	-0.78	-0.59	-0.11	-0.49	-0.14	-0.14	0.6	-0.3
YKR041W	-0.71	-0.85	-0.72	-0.72	-0.27	-0.68	-0.11	-0.14	-0.33	-0.23	-0.64	-0.47	-0.48	-0.49	-0.34	-0.1	0.11	-0.19
YKR042W	1.56	1.09	1.02	0.71	0.72	0.05	0.65	0.26	0.73	0.63	0.36	-0.47	-0.35	-0.65	-0.04	-0.39	0.35	0.09
YKR043C	0.35	0.89	0.18	-0.16	0.23	-0.4	0.46	-0.44	0.43	0.22	0.71	-0.34	0.31	-0.33	0.24	0.02	0.22	0.12
YKR044W	-0.17	-0.78	-0.37	-0.35	0.29	-0.18	0.31	0.19	-0.06	-0.29	-0.29	-0.44	-0.12	-0.24	0.01	-0.1	0.09	-0.23
