TF Hub	Modulator	Target	Score	P-Value
1973_s_at	1044_s_at	31502_at	0.167812	0.0447779
1973_s_at	1044_s_at	33091_at	0.176679	0.036069
1973_s_at	1044_s_at	36303_f_at	0.158442	0.0111122
1973_s_at	1044_s_at	39604_at	0.167484	0.00827771
1973_s_at	1044_s_at	39663_at	0.169982	0.00671819
1973_s_at	1044_s_at	32029_at	0.183943	0.0119581
1973_s_at	1044_s_at	36876_at	0.185517	0.0147163
1973_s_at	1044_s_at	37649_at	0.283035	0.000162504
1973_s_at	1044_s_at	37955_at	0.186882	0.020144
1973_s_at	1044_s_at	38640_at	0.226478	0.0240781
1973_s_at	1044_s_at	39073_at	0.226372	0.0242233
1973_s_at	1044_s_at	35322_at	0.231999	0.00578097
1973_s_at	1044_s_at	36573_at	0.287987	1.73936e-006
1973_s_at	1044_s_at	37666_at	0.212681	0.0404263
1973_s_at	1044_s_at	37698_at	0.277315	0.000874386
1973_s_at	1044_s_at	38785_at	0.188557	0.0176888
1973_s_at	1044_s_at	39127_f_at	0.183899	0.004362
1973_s_at	1044_s_at	41244_f_at	0.177354	0.0427578
1973_s_at	1044_s_at	1529_at	0.212417	0.00289316
1973_s_at	1044_s_at	1521_at	0.224408	0.0270747
1973_s_at	1044_s_at	1468_at	0.2479	0.00658196
1973_s_at	1044_s_at	831_at	0.224582	0.0268101
1973_s_at	1044_s_at	39812_at	0.269873	0.00149499
1973_s_at	1044_s_at	35323_at	0.302823	0.000121921
1973_s_at	1044_s_at	35615_at	0.309345	7.12852e-005
1973_s_at	1044_s_at	38811_at	0.230667	0.0189058
1973_s_at	1045_s_at	40325_at	-0.24146	0.00369534
1973_s_at	1073_at	33791_at	0.19241	0.0170606
1973_s_at	1073_at	36874_at	0.256931	5.90517e-005
1973_s_at	1102_s_at	38501_s_at	-0.194203	0.00142278
1973_s_at	1102_s_at	32229_at	-0.208323	0.0172288
1973_s_at	1102_s_at	36203_at	-0.215743	0.0342645
1973_s_at	1102_s_at	36608_at	-0.183581	0.00419206
1973_s_at	1102_s_at	2035_s_at	-0.226664	0.023824
1973_s_at	1102_s_at	1721_g_at	-0.200426	0.0326702
1973_s_at	1102_s_at	861_g_at	-0.160132	0.0267146
1973_s_at	1219_at	36573_at	0.179359	0.033701
1973_s_at	1220_g_at	41126_at	0.18299	0.0251975
1973_s_at	1220_g_at	38780_at	0.2131	0.0170267
1973_s_at	1220_g_at	673_at	0.21948	0.0355889
1973_s_at	131_at	31463_s_at	0.199099	0.00825554
1973_s_at	131_at	34451_at	0.1978	0.038451
1973_s_at	131_at	36303_f_at	0.186906	0.000690821
1973_s_at	131_at	39670_at	0.22286	0.00984197
1973_s_at	131_at	31850_at	0.161367	0.0242983
1973_s_at	131_at	32048_at	0.189728	0.00823226
1973_s_at	131_at	33774_at	0.17751	0.0246858
1973_s_at	131_at	36885_at	0.167073	0.00504712
1973_s_at	131_at	39438_at	0.208859	0.0214597
1973_s_at	131_at	41126_at	0.181313	0.0280593
1973_s_at	131_at	41222_at	0.19615	0.00538199
1973_s_at	131_at	41779_at	0.170766	0.0114714
1973_s_at	131_at	32181_at	0.201954	0.0299364
1973_s_at	131_at	33444_at	0.209574	0.0191498
1973_s_at	131_at	36573_at	0.190509	0.0155672
1973_s_at	131_at	36999_at	0.261963	0.000336257
1973_s_at	131_at	37737_at	0.186919	0.0134119
1973_s_at	131_at	41260_at	0.157243	0.0188563
1973_s_at	131_at	1910_s_at	0.183216	0.0171143
1973_s_at	131_at	1847_s_at	0.185226	0.000825272
1973_s_at	131_at	1529_at	0.203647	0.00582209
1973_s_at	131_at	1530_g_at	0.2317	0.00110694
1973_s_at	131_at	548_s_at	0.241309	0.000118652
1973_s_at	131_at	371_at	0.196779	0.0105357
1973_s_at	131_at	133_at	0.170801	0.00353788
1973_s_at	1337_s_at	40325_at	-0.200711	0.0458111
1973_s_at	1337_s_at	40375_at	-0.174121	0.0418009
1973_s_at	1337_s_at	33791_at	-0.178522	0.039929
1973_s_at	1337_s_at	34325_at	-0.172935	0.0472074
1973_s_at	1337_s_at	39127_f_at	-0.191488	0.00235544
1973_s_at	1337_s_at	40588_r_at	-0.181064	0.0343436
1973_s_at	1337_s_at	1470_at	-0.225603	0.0253068
1973_s_at	1337_s_at	39812_at	-0.233507	0.0159939
1973_s_at	1337_s_at	35615_at	-0.263294	0.00236737
1973_s_at	1341_at	41183_at	-0.199209	0.00437901
1973_s_at	1341_at	1530_g_at	-0.175549	0.0474815
1973_s_at	1341_at	1093_at	-0.193452	0.0479534
1973_s_at	1388_g_at	31502_at	-0.24598	0.000152252
1973_s_at	1388_g_at	32378_at	-0.208086	0.0223741
1973_s_at	1388_g_at	38948_at	-0.205574	0.00718829
1973_s_at	1388_g_at	38956_at	-0.190755	0.018944
1973_s_at	1388_g_at	31850_at	-0.172091	0.0102777
1973_s_at	1388_g_at	32029_at	-0.170936	0.0267515
1973_s_at	1388_g_at	32120_at	-0.211099	0.0174727
1973_s_at	1388_g_at	33325_at	-0.198684	0.00599733
1973_s_at	1388_g_at	34292_at	-0.142529	0.0475087
1973_s_at	1388_g_at	36913_at	-0.225714	0.000939868
1973_s_at	1388_g_at	39438_at	-0.217998	0.0129664
1973_s_at	1388_g_at	41126_at	-0.180287	0.0299526
1973_s_at	1388_g_at	32181_at	-0.195936	0.0420405
1973_s_at	1388_g_at	32849_at	-0.150278	0.0286283
1973_s_at	1388_g_at	32850_at	-0.170954	0.00618897
1973_s_at	1388_g_at	35299_at	-0.15307	0.0451182
1973_s_at	1388_g_at	37737_at	-0.202863	0.00445747
1973_s_at	1388_g_at	38844_at	-0.21132	0.00402069
1973_s_at	1388_g_at	39846_at	-0.162234	0.00790162
1973_s_at	1388_g_at	40195_at	-0.18864	0.0175982
1973_s_at	1388_g_at	1909_at	-0.270109	0.000522153
1973_s_at	1388_g_at	1910_s_at	-0.185682	0.014557
1973_s_at	1388_g_at	1847_s_at	-0.201507	0.000136995
1973_s_at	1388_g_at	1530_g_at	-0.202492	0.00884367
1973_s_at	1388_g_at	496_s_at	-0.194938	0.0112724
1973_s_at	1388_g_at	371_at	-0.207592	0.00517577
1973_s_at	1388_g_at	288_s_at	-0.18313	0.026126
1973_s_at	1409_at	37698_at	-0.231265	0.0182555
1973_s_at	1409_at	39155_at	-0.213099	0.039531
1973_s_at	1409_at	1584_at	-0.174336	0.0301135
1973_s_at	1433_g_at	31633_g_at	-0.231132	0.0142532
1973_s_at	1433_g_at	36432_at	-0.234743	0.000419253
1973_s_at	1433_g_at	32378_at	-0.228256	0.00720423
1973_s_at	1433_g_at	35397_at	-0.19592	0.0104806
1973_s_at	1433_g_at	35433_s_at	-0.189633	0.0165479
1973_s_at	1433_g_at	35905_s_at	-0.205758	0.00361756
1973_s_at	1433_g_at	39677_at	-0.269448	0.000178919
1973_s_at	1433_g_at	40329_at	-0.237811	7.56957e-006
1973_s_at	1433_g_at	40364_at	-0.24188	8.10041e-006
1973_s_at	1433_g_at	40690_at	-0.244098	0.00203209
1973_s_at	1433_g_at	41606_at	-0.261941	0.000895876
1973_s_at	1433_g_at	41665_at	-0.28091	0.000193192
1973_s_at	1433_g_at	32120_at	-0.249549	0.00138211
1973_s_at	1433_g_at	33247_at	-0.286794	0.000197236
1973_s_at	1433_g_at	33252_at	-0.228655	0.00703788
1973_s_at	1433_g_at	33720_at	-0.282167	0.000466385
1973_s_at	1433_g_at	33779_at	-0.153583	0.0249775
1973_s_at	1433_g_at	34715_at	-0.23074	0.0087083
