Probesets	HG-U133A-1-121502.CEL	HG-U133A-Tissue1-121502.CEL
1007_s_at	567.339535	1762.723866
1053_at	379.306209	110.199649
117_at	111.121542	148.151084
121_at	517.704776	625.185432
1255_g_at	24.067733	57.410497
1294_at	102.598567	119.477865
1316_at	42.143650	67.614850
1320_at	36.728245	34.344945
1405_i_at	18.034771	15.234172
1431_at	18.198687	28.839342
1438_at	143.323936	211.874191
1487_at	253.715863	193.071970
1494_f_at	149.012425	187.296065
1598_g_at	557.271759	966.828172
160020_at	287.407153	328.916145
1729_at	210.142497	121.441041
1773_at	94.609055	87.337934
177_at	66.321699	58.101368
179_at	710.492229	814.894312
1861_at	127.295886	124.861599
200000_s_at	1119.882591	1179.185248
200001_at	2187.243390	1453.652930
200002_at	6390.218533	4488.075695
200003_s_at	3985.137795	4677.787795
200004_at	3301.748907	2822.630032
200005_at	1308.070328	901.388081
200006_at	3390.568313	2233.513030
200007_at	3320.368621	2174.458353
200008_s_at	2042.509701	759.249411
200009_at	2386.793851	1562.553283
200010_at	4521.892246	3715.462113
200011_s_at	887.537795	1396.787795
200012_x_at	5511.221492	5344.180867
200013_at	6080.852548	4898.001315
200014_s_at	1328.835172	842.206229
200015_s_at	1151.843610	696.804502
200016_x_at	4951.245075	5204.912921
200017_at	3894.616497	3362.205962
200018_at	5687.995003	6448.949595
200019_s_at	3886.354988	5984.887379
200020_at	1445.908212	631.597179
200021_at	8818.337141	7929.921287
200022_at	5100.502094	5162.085698
200023_s_at	2483.343373	1801.952387
200024_at	5580.381766	5871.481862
200025_s_at	5301.870497	6523.512195
200026_at	4434.186725	5674.905449
200027_at	1128.285314	721.280352
200028_s_at	1498.387795	1578.287795
200029_at	4996.014833	5784.795492
200030_s_at	5328.563636	3206.137318
200031_s_at	6369.996805	8685.966886
200032_s_at	6652.494232	7262.333591
200033_at	2086.767837	1984.832662
200034_s_at	4651.039381	3548.527961
200035_at	653.113707	725.941468
200036_s_at	3624.610668	3514.164928
200037_s_at	1701.816885	680.990598
200038_s_at	4313.350101	4221.648868
