Gene1	Gene2	pdi	ppi	Dir
25	3320	0	1	0
196	3320	0	1	0
207	3320	0	1	0
208	3320	0	1	0
332	3320	0	1	0
351	3320	0	1	0
405	3320	0	1	0
406	3320	0	1	0
432	3320	0	1	0
801	3320	0	1	0
862	3320	0	1	0
983	3320	0	1	0
999	3320	0	1	0
1019	3320	0	1	0
1025	3320	0	1	0
1147	3320	0	1	0
1385	3320	1	0	1
1445	3320	0	1	0
1457	3320	0	1	0
1459	3320	0	1	0
1719	3320	0	1	0
1874	3320	1	0	1
2034	3320	0	1	0
2058	3320	0	1	0
2064	3320	0	1	0
2099	3320	0	1	0
2185	3320	0	1	0
2288	3320	0	1	0
2289	3320	0	1	0
2305	3320	1	0	1
2768	3320	0	1	0
2908	3320	1	1	1
3091	3320	0	1	0
3303	3320	0	1	0
3308	3320	0	1	0
3309	3320	0	1	0
3312	3320	0	1	0
3316	3320	0	1	0
3320	3551	0	1	0
3320	3654	0	1	0
3320	3932	0	1	0
3320	4306	0	1	0
3320	4691	0	1	0
3320	5170	0	1	0
3320	5292	0	1	0
3320	5347	0	1	0
3320	5465	0	1	0
3320	5481	0	1	0
3320	5536	0	1	0
3320	5562	0	1	0
3320	5591	0	1	0
3320	5594	0	1	0
3320	5610	0	1	0
3320	5891	0	1	0
3320	5894	0	1	0
3320	6449	0	1	0
3320	6493	0	1	0
3320	6714	0	1	0
3320	6767	0	1	0
3320	6774	0	1	0
3320	7015	0	1	0
3320	7132	0	1	0
3320	7157	0	1	0
3320	7266	0	1	0
3320	7818	0	1	0
3320	8517	0	1	0
3320	8737	0	1	0
3320	9020	0	1	0
3320	9049	0	1	0
3320	9641	0	1	0
3320	9868	0	1	0
3320	10256	0	1	0
3320	10397	0	1	0
3320	10598	0	1	0
3320	10728	0	1	0
3320	10953	0	1	0
3320	10963	0	1	0
3320	22858	0	1	0
3320	23405	0	1	0
3320	25855	0	1	0
3320	130872	0	1	0
3663	3320	1	0	1
4609	3320	1	1	1
5452	3320	1	0	1
5934	3320	1	0	1
6772	3320	1	0	1
16	3326	0	1	0
60	3326	0	1	0
71	3326	0	1	0
87	3326	0	1	0
207	3326	0	1	0
226	3326	0	1	0
1029	3326	0	1	0
1147	3326	0	1	0
1385	3326	1	0	1
1938	3326	0	1	0
2099	3326	0	1	0
2194	3326	0	1	0
2309	3326	1	0	1
2313	3326	1	0	1
2316	3326	0	1	0
2597	3326	0	1	0
2771	3326	0	1	0
3303	3326	0	1	0
3304	3326	0	1	0
3326	3551	0	1	0
3326	3939	0	1	0
3326	4190	0	1	0
3326	4522	0	1	0
3326	4627	0	1	0
3326	4926	0	1	0
3326	5230	0	1	0
3326	5315	0	1	0
3326	5481	0	1	0
3326	5591	0	1	0
3326	5693	0	1	0
3326	5707	0	1	0
3326	5894	0	1	0
3326	6125	0	1	0
3326	6129	0	1	0
3326	6175	0	1	0
3326	6189	0	1	0
3326	6191	0	1	0
3326	6194	0	1	0
3326	6709	0	1	0
3326	6774	0	1	0
3326	6950	0	1	0
3326	7157	0	1	0
3326	7170	0	1	0
