UID,Gene Symbol,Gene Ontology ID,SwissProt
Q0010,,5739,SwissProt:Q9ZZX9
Q0010,,5554,SwissProt:Q9ZZX9
Q0010,,4,SwissProt:Q9ZZX9
Q0017,,5739,SwissProt:Q9ZZX8
Q0017,,5554,SwissProt:Q9ZZX8
Q0017,,4,SwissProt:Q9ZZX8
Q0032,,5739,SwissProt:Q9ZZX7
Q0032,,5554,SwissProt:Q9ZZX7
Q0032,,4,SwissProt:Q9ZZX7
Q0045,COX1,5751,SwissProt:Q9ZZX6
Q0045,COX1,4129,SwissProt:Q9ZZX6
Q0045,COX1,9060,SwissProt:Q9ZZX6
Q0050,AI1,5739,SwissProt:Q9ZZX5
Q0050,AI1,4519,SwissProt:Q9ZZX5
Q0050,AI1,3676,SwissProt:Q9ZZX5
Q0050,AI1,45333,SwissProt:Q9ZZX5
Q0050,AI1,6315,SwissProt:Q9ZZX5
Q0050,AI1,6397,SwissProt:Q9ZZX5
Q0055,AI2,5739,SwissProt:Q9ZZX4
Q0055,AI2,3723,SwissProt:Q9ZZX4
Q0055,AI2,3964,SwissProt:Q9ZZX4
Q0055,AI2,4519,SwissProt:Q9ZZX4
Q0055,AI2,3676,SwissProt:Q9ZZX4
Q0055,AI2,8380,SwissProt:Q9ZZX4
Q0060,AI3,5739,SwissProt:Q9ZZX3
Q0060,AI3,4519,SwissProt:Q9ZZX3
Q0060,AI3,4,SwissProt:Q9ZZX3
Q0065,AI4,5739,SwissProt:Q9ZZX2
Q0065,AI4,4519,SwissProt:Q9ZZX2
Q0065,AI4,8380,SwissProt:Q9ZZX2
Q0070,AI5_ALPHA,5739,SwissProt:Q9ZZX1
Q0070,AI5_ALPHA,4519,SwissProt:Q9ZZX1
Q0070,AI5_ALPHA,6316,SwissProt:Q9ZZX1
Q0075,AI5_BETA,5739,SwissProt:Q9ZZX0
Q0075,AI5_BETA,5554,SwissProt:Q9ZZX0
Q0075,AI5_BETA,4,SwissProt:Q9ZZX0
Q0080,AAP1,276,SwissProt:P00856
Q0080,AAP1,46933,SwissProt:P00856
Q0080,AAP1,15986,SwissProt:P00856
Q0085,ATP6,276,SwissProt:Q95A27
Q0085,ATP6,46933,SwissProt:Q95A27
Q0085,ATP6,5198,SwissProt:Q95A27
Q0085,ATP6,15986,SwissProt:Q95A27
Q0085,ATP6,6461,SwissProt:Q95A27
Q0092,,5739,SwissProt:Q35811
Q0092,,5554,SwissProt:Q35811
Q0092,,4,SwissProt:Q35811
Q0105,COB,5750,SwissProt:Q9ZZW9
Q0105,COB,5750,SwissProt:Q9ZZW9
Q0105,COB,8121,SwissProt:Q9ZZW9
Q0105,COB,9060,SwissProt:Q9ZZW9
Q0105,COB,6122,SwissProt:Q9ZZW9
Q0110,BI2,5739,SwissProt:Q9ZZW8
Q0110,BI2,4518,SwissProt:Q9ZZW8
Q0110,BI2,8380,SwissProt:Q9ZZW8
Q0115,BI3,5739,SwissProt:Q9ZZW7
Q0115,BI3,3723,SwissProt:Q9ZZW7
Q0115,BI3,372,SwissProt:Q9ZZW7
Q0120,BI4,5739,SwissProt:Q9ZZW6
Q0120,BI4,3723,SwissProt:Q9ZZW6
Q0120,BI4,372,SwissProt:Q9ZZW6
Q0120,BI4,372,SwissProt:Q9ZZW6
Q0130,OLI1,276,SwissProt:P00841
Q0130,OLI1,15078,SwissProt:P00841
Q0130,OLI1,46933,SwissProt:P00841
Q0130,OLI1,5198,SwissProt:P00841
Q0130,OLI1,15986,SwissProt:P00841
Q0130,OLI1,6461,SwissProt:P00841
Q0140,VAR1,5763,SwissProt:Q9ZZW5
Q0140,VAR1,5763,SwissProt:Q9ZZW5
Q0140,VAR1,3735,SwissProt:Q9ZZW5
Q0140,VAR1,3735,SwissProt:Q9ZZW5
Q0140,VAR1,6412,SwissProt:Q9ZZW5
Q0140,VAR1,6412,SwissProt:Q9ZZW5
Q0140,VAR1,28,SwissProt:Q9ZZW5
Q0142,,5739,SwissProt:Q9ZZW4
Q0142,,5554,SwissProt:Q9ZZW4
Q0142,,4,SwissProt:Q9ZZW4
Q0143,,5739,SwissProt:Q9ZZW3
Q0143,,5554,SwissProt:Q9ZZW3
Q0143,,4,SwissProt:Q9ZZW3
Q0144,,5739,SwissProt:Q9ZZW2
Q0144,,5554,SwissProt:Q9ZZW2
Q0144,,4,SwissProt:Q9ZZW2
Q0160,SCEI,5739,SwissProt:P03882
Q0160,SCEI,4519,SwissProt:P03882
Q0160,SCEI,6314,SwissProt:P03882
Q0182,,5739,SwissProt:Q9ZZW1
Q0182,,5554,SwissProt:Q9ZZW1
Q0182,,4,SwissProt:Q9ZZW1
Q0250,COX2,5751,SwissProt:P00410
Q0250,COX2,4129,SwissProt:P00410
Q0250,COX2,9060,SwissProt:P00410
Q0255,,5739,SwissProt:Q9ZZW0
Q0255,,5554,SwissProt:Q9ZZW0
Q0255,,4,SwissProt:Q9ZZW0
Q0275,COX3,5751,SwissProt:Q9ZZV9
Q0275,COX3,4129,SwissProt:Q9ZZV9
Q0275,COX3,9060,SwissProt:Q9ZZV9
Q0297,,5739,SwissProt:Q9ZZV8
Q0297,,5554,SwissProt:Q9ZZV8
Q0297,,4,SwissProt:Q9ZZV8
YAL001C,TFC3,127,SwissProt:P34111
YAL001C,TFC3,3709,SwissProt:P34111
YAL001C,TFC3,6384,SwissProt:P34111
YAL002W,VPS8,5624,SwissProt:P39702
YAL002W,VPS8,5554,SwissProt:P39702
YAL002W,VPS8,45324,SwissProt:P39702
YAL002W,VPS8,45324,SwissProt:P39702
YAL003W,EFB1,5840,SwissProt:P32471
YAL003W,EFB1,3746,SwissProt:P32471
YAL003W,EFB1,6414,SwissProt:P32471
YAL004W,,8372,SwissProt:P39703
YAL004W,,5554,SwissProt:P39703
YAL004W,,4,SwissProt:P39703
YAL005C,SSA1,9277,SwissProt:P10591
YAL005C,SSA1,5737,SwissProt:P10591
YAL005C,SSA1,5737,SwissProt:P10591
YAL005C,SSA1,5634,SwissProt:P10591
YAL005C,SSA1,5634,SwissProt:P10591
YAL005C,SSA1,329,SwissProt:P10591
YAL005C,SSA1,16887,SwissProt:P10591
YAL005C,SSA1,3754,SwissProt:P10591
YAL005C,SSA1,3773,SwissProt:P10591
YAL005C,SSA1,6616,SwissProt:P10591
YAL005C,SSA1,6457,SwissProt:P10591
YAL005C,SSA1,60,SwissProt:P10591
YAL007C,ERP2,30138,SwissProt:P39704
YAL007C,ERP2,5554,SwissProt:P39704
YAL007C,ERP2,6888,SwissProt:P39704
YAL008W,FUN14,8372,SwissProt:P18411
YAL008W,FUN14,5554,SwissProt:P18411
YAL008W,FUN14,4,SwissProt:P18411
YAL009W,SPO7,16021,SwissProt:P18410
YAL009W,SPO7,16021,SwissProt:P18410
YAL009W,SPO7,42175,SwissProt:P18410
YAL009W,SPO7,5554,SwissProt:P18410
YAL009W,SPO7,7126,SwissProt:P18410
