ORF	NAME	TCA	Resp	Ribo	Proteas	Hist	HTH	alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g
YAL001C	TFC3   TRANSCRIPTION            TFIIIC 138 KD SUBUNIT	-1	-1	-1	-1	-1	-1	-0.38	-0.38	-0.43	-0.06	-0.64	-0.67	-0.38	0.12	-0.32	-0.15	-0.04	0.43	-0.47	-0.03	-0.36	0.38	-0.43	0.06	0.2	-0.22	0.14	0.08	-0.34	0.01	-0.22	0.28	-0.03	-0.18	-0.42	-0.06	-0.58	-0.06	-0.23	0.01	-0.3	-0.04	-0.2	-0.51	0.04	-0.12	0.52	-0.36	-0.51	-0.04	-0.07	-0.06	-0.34	-0.04	-0.15	-0.23		-0.29	-0.09	-0.12	-0.1	0.14	0.34	0.08	-0.17	0.36	0.14	0.18	-0.04	0.58	-0.89	-0.15	-0.76	-0.69	0.34	0.32	0.93	0.29	-0.06	0.08	0.42	0.48	0.21	0.77	0.34
YAL002W	VPS8   VACUOLAR PROTEIN TARGETI UNKNOWN	-1	-1	-1	-1	-1	-1	-0.3	-0.09	-0.18	-0.14	-0.15	-0.45	-0.15	0.61	-0.42	-0.4	-0.07	0.01	-0.45	-0.49	0.03	0.39	-0.56	-0.06	-0.12	-0.09	-0.23	0.08	-0.23	-0.34	-0.4	-0.47	-0.32	-0.36	-0.45	-0.18	-0.25	-0.29	-0.04		0.08	-0.36	-0.01	-0.4	-0.1	-0.34	0.07		-0.27	0.4	-0.07	-0.18	-0.94	0.04	0.14	-0.32	-1.12	-0.71	-0.07	0.57	-0.54	0.08	0.06	-0.56	-0.2	-0.79	0.31	0.41	-0.49	-0.18	-1.29	-0.64	-0.54	-0.76	-0.17	-0.71	-0.25	-0.04	-0.01	0.51	-0.04	-0.04	-0.23	0.06	0.9
YAL003W	EFB1   PROTEINSYNTHESIS         ELONGATION FACTOR EF1-BETA	-1	-1	-1	-1	-1	-1	0.01	-0.56	0.25	-0.17	-0.25	-0.43	0.26	0.31	0.24	0.72	0.01	0.44	0.16	0.19	0.2	0.7	0.07	0.48	-1.32	-0.09	-0.38	0.6	0.4	0.5	0.37	0.61	0.45	0.43	-0.06	0.11	0.56	0.24	-0.3	-0.15	-0.09	0.11	-0.18	-0.17	-0.15	-0.14	0.1		0.01	0.63	-0.4	-0.38	-0.34	0.23	-1.29	-1.56	-2.12	-1.09	-1.12	0.25	-0.64	0.59	-2.18	-3.06	0.12	-0.1	-0.67	-1.4	-0.64	-1.74	0.39	-0.4	-0.06	-1.15	0.1	-0.18	-1.15	-1.29	0.24		-0.04	-0.64	-0.94	-1.56	-2.32
YAL005C	SSA1   ER AND MITOCHONDRIAL TRA CYTOSOLIC HSP70	-1	-1	-1	-1	-1	-1	0.08	-0.4	-0.34	0.07	0.24	0.06	0.38	0.32	0.25	0.62	-0.29	0.41	-0.17	-0.04	-0.17	0.81	-0.1	0.36	0.33	0.4	-0.09	0.67	-0.03	-0.42	0.16	0.26	0.71	0.63	-0.01	0.63	1.02	1.07	-1.84	-2.74	-2.94	-2.94	-3.06	-2.94	-2.56	-2.56	-2.25		-0.54	0.83	0.01	-0.14	-0.23	0.61	-1.29	-1.29	-2	-1.84	-2.25	0.01	-0.36	-0.56	0.21	0.07	0.8	2.35	1.69	0.98	1.11	0.41	-1.09	-0.25	1.15	-0.09	0.51	-0.09	-0.18	0.3	0.12	0.06	0.04	-0.01	-0.12	0.01	-0.15
YAL010C	MDM10  MITOCHONDRIAL BIOGENESIS (PUTATIVE) COMPONENT OF ACTIN BINDING PROTEIN COMPLEX	-1	-1	-1	-1	-1	-1	-0.2	-0.01	-0.01	-0.36	-0.6	-0.36	-0.09	-0.29	-0.15	0.11	-0.64	0.16	-0.04	-0.29	-0.86	0.37	0.16	-0.01	0.48	0.33	-0.17	-0.69	-0.54	-0.36	0.18	-0.27	-0.2	-0.17	0.15	-0.14	-1.12	-0.14	-0.25	-0.07	-0.12	-0.27	-0.54	-0.32	-0.32	-0.29	-0.15		-0.58	0.7	-0.42	-0.42	-0.54	0.16	-0.76	-1.25	-1.89	-1.74	-1.6	0.16	-0.6	-0.64	-0.07	0.06	2.39	-0.25	-0.18	-0.15	-0.03	-0.42	-0.47	-0.38	0.01	-0.07	-0.3	0.36	-0.34	-0.01	-1.18	-0.1	0.04	-0.89	-0.92	0.37	-0.18
YAL012W	CYS3   METHIONINE BIOSYNTHESIS  CYSTATHIONINE GAMMA-LYASE	-1	-1	-1	-1	-1	-1	0.15	-0.2	-0.36	-0.17	-0.01	-0.1	0.54	0.16	0.38	0.62	-0.17	0.26	0.01	-0.22	-0.06	0.6	0.19	0.26	-1.09	0.54	-0.1	0.29	0.33	0.39	0.5	0.25	0.31	0.7	0.14	0.33	-0.18	0.38	-0.4	-0.84	-0.47	0.07	-0.32	-0.56	-0.2	0.1	-0.04		-0.09	0.25	-0.22	-0.25	-0.32	0.03	-0.84	-1.64	-2.84	-2.47	-2.4	0.46	-0.51	0.3	-2.18	-2.12	0.65	0.66	0.08	0.86	0.54	-0.1	-0.4	-2	0.19	0.36	0.46	0.14	-0.12	0.38	0.11	-0.01	0.55	-0.58	-0.74	-1.25	-2.56
YAL013W	DEP1   PHOSPHOLIPID METABOLISM  REGULATOR	-1	-1	-1	-1	-1	-1	-0.32	-0.15	0.03	-0.29	-0.23	-0.09	0.07	0.04	0.1	0.1	0.31	0.41	-0.2	-0.09	0.08	0.61	-0.22	0.28	0.63	-0.18	-0.3	0.19	-0.04	-0.27	-0.04	0.16	-0.06	-0.06	-0.38	-0.01	-0.27	0.03	-0.04	0.52	0.08	0.15	0.52	-0.09	0.33	-0.14	0.03		0.2	0.58	0.4	-0.18	-0.94	0.26	-0.42	-0.58	-0.67	-0.3	-0.58	0.11	-0.64	0.08	0.48	0.29	0.61	1.01	0.56	1.04	0.57	0.51	-0.1	-0.67	-0.09	-0.64	0.31	0.73	0.7	0.86	-0.76	-0.29	-0.09	-0.74	-0.64	0.21	-0.1
YAL015C	NTG1   DNA REPAIR               DNA GLYCOSYLASE	-1	-1	-1	-1	-1	-1	-0.1	-0.12	0.01	-0.34	-0.23	0.14	0.19	-0.38	0.28	-0.17	-0.29	-0.27	-0.38	-0.27	-0.01	-0.01	0.11	-0.1	-0.76	-0.81	-0.4	-0.38	-0.25	-0.86	-0.64	-0.34	-0.14	-0.49	-0.62	-0.14	-0.18	-0.45	-0.15	-0.04	-0.01	-0.62	-0.17	0.04	-0.22	0.03	-0.51	-0.43	-0.04	0.53	-0.29	-0.71	0.01	-0.18	-0.62	-1.32	-1.69	-1.43	-1.79	0.58	-0.54	0.45	-1.09	-1.09	0.06	-0.04	0.33	0.07	0.19	0.16	-0.76	-0.3	-0.64	-0.36	0.03	-0.07	0.07	-0.34	-0.07	-0.2	-0.2	-0.15	0.08	0.83	0.18
YAL016W	"TPD3   TRNA BIOSYNTHESIS, CYTOK PROTEIN PHOSPHATASE (PP2A REGULATORY SUBUNIT)"	-1	-1	-1	-1	-1	-1	-0.2	-0.25	-0.09	-0.4	-0.25	-0.49	-0.1	-1.6	-0.1	-0.2	-0.25	-0.07	-0.17	-0.2	-0.07	-0.12	0.04	-0.09	0.72	-0.56	-0.54	-0.06	-0.64	-0.49	-0.07	-0.2	0.34	0.06	-0.49	0.31	0.03	0.12	0.03	0.01	0.01	0.15	0.01	0.06	0.15	0.03	-0.01	-0.03	-0.1	-0.47	0.11		0.07	-0.01	-0.79	-1.18	-2	-0.81	-1.32	0.39	-0.86	-0.56	-0.42	-0.97	-0.12	0.5	0.33	0.07	0.08	-0.2	-0.25	-0.49	-0.01	-0.23	0.23	0.26	0.28	0.03	0.15	0.08	0.15	-0.07	-0.17	0.43	-0.09
YAL021C	CCR4   CATABOLITE REPRESSION    COMPONENT OF CCR4 TRANSCRIPTIONAL COMPLEX	-1	-1	-1	-1	-1	-1	-0.22	-0.29	-0.27	-0.07	-0.01	-0.14	-0.03	0.28	-0.29	0.01	-0.17	0.19	-0.03	-0.06	0.18	-0.09	-0.32	0.04	-0.01	-0.07	-0.04	0.25	0.03	-0.06	0.4	-0.07	0.18	0.32	-0.36	0.07	-0.06	-0.17	-0.34	0.18	0.23	-0.09	-0.17	-0.12	-0.04	-0.42	-0.03	-0.2	-0.47	0.11	-0.38	-0.2	-0.51			-0.1	-0.18	-0.07	-0.15	-0.09	0.12	-0.1	-0.4	-0.17	0.04	0.25	0.33	1.17	0.23	0.82	-0.58	-0.54	-0.84	-0.27	0.46	0.36	0.96	0.9	-0.06	-0.15	-0.2	-0.32	-0.45	-0.34	-0.81
