Probe Set ID,GeneChip Array,Species Scientific Name,Annotation Date,Sequence Type,Sequence Source,Transcript ID,Target Description,Representative Public ID,Archival UniGene Cluster,Genome Version,Alignments,Overlapping Transcripts,Gene Title,Gene Symbol,Chromosomal Location,Unigene,Ensembl,LocusLink,SwissProt,EC,OMIM,RefSeq Protein ID,RefSeq Transcript ID,FlyBase,AGI,WormBase,MGI Name,RGD Name,SGD accession number,Gene Ontology Biological Process,Gene Ontology Cellular Component,Gene Ontology Molecular Function,Pathway,Protein Families,Protein Domains,InterPro,Trans Membrane,QTL
YAL001C,,,,,,,,,,,,,YAL001C,YAL001C,,Hs.861 // full length,,5595,,,,,,,,,,,,0006384 // transcription initiation from Pol III promoter,0000127 // transcription factor TFIIIC complex /// 0005739 // mitochondrion,0003709 // RNA polymerase III transcription factor activity,,,,,,
YAL002W,,,,,,,,,,,,,YAL002W,YAL002W,,Hs.78824 // full length,,7075,,,,,,,,,,,,0045324 // late endosome to vacuole transport /// 0045324 // late endosome to vacuole transport,0005624 // membrane fraction,0005554 // molecular_function unknown,,,,,,
YAL003W,,,,,,,,,,,,,YAL003W,YAL003W,,Hs.282409 // full length,,1557,,,,,,,,,,,,0006414 // translational elongation,0005840 // ribosome,0003746 // translation elongation factor activity,,,,,,
YAL004W,,,,,,,,,,,,,YAL004W,YAL004W,,Hs.113916 // full length,,643,,,,,,,,,,,,---,---,---,,,,,,
YAL005C,,,,,,,,,,,,,YAL005C,YAL005C,,Hs.113916 // full length,,643,,,,,,,,,,,,"0000060 // protein-nucleus import, translocation /// 0006457 // protein folding /// 0006616 // SRP-dependent cotranslational protein-membrane targeting, translocation",0000329 // vacuolar membrane (sensu Fungi) /// 0005634 // nucleus /// 0005634 // nucleus /// 0005737 // cytoplasm /// 0005737 // cytoplasm /// 0009277 // cell wall (sensu Fungi),0016887 // ATPase activity /// 0051082 // unfolded protein binding,,,,,,
YAL007C,,,,,,,,,,,,,YAL007C,YAL007C,,Hs.171695 // full length,,1843,,,,,,,,,,,,0006888 // ER to Golgi transport,0030138 // COPII-coated vesicle,0005554 // molecular_function unknown,,,,,,
YAL008W,,,,,,,,,,,,,YAL008W,YAL008W,,Hs.2258 // full length,,4319,,,,,,,,,,,,0000004 // biological_process unknown,0005739 // mitochondrion /// 0005739 // mitochondrion,0005554 // molecular_function unknown,,,,,,
YAL009W,,,,,,,,,,,,,YAL009W,YAL009W,,Hs.423573 // full length,,780,,,,,,,,,,,,0006997 // nuclear organization and biogenesis /// 0006997 // nuclear organization and biogenesis /// 0007126 // meiosis /// 0030437 // sporulation (sensu Fungi),0016021 // integral to membrane /// 0016021 // integral to membrane /// 0042175 // nuclear envelope-endoplasmic reticulum network,0005554 // molecular_function unknown,,,,,,
YAL010C,,,,,,,,,,,,,YAL010C,YAL010C,,--- // ---,,---,,,,,,,,,,,,0000001 // mitochondrion inheritance /// 0000002 // mitochondrial genome maintenance /// 0006461 // protein complex assembly /// 0007005 // mitochondrion organization and biogenesis,0001401 // mitochondrial sorting and assembly machinery complex /// 0005741 // mitochondrial outer membrane,0005554 // molecular_function unknown,,,,,,
YAL011W,,,,,,,,,,,,,YAL011W,YAL011W,,Hs.256697 // full length,,3094,,,,,,,,,,,,0006338 // chromatin remodeling /// 0006338 // chromatin remodeling /// 0006338 // chromatin remodeling /// 0007029 // ER organization and biogenesis,0000812 // SWR1 complex /// 0000812 // SWR1 complex /// 0005634 // nucleus /// 0005739 // mitochondrion,0005554 // molecular_function unknown,,,,,,
YAL012W,,,,,,,,,,,,,YAL012W,YAL012W,,Hs.377992 // full length,,5875,,,,,,,,,,,,0000096 // sulfur amino acid metabolism /// 0006534 // cysteine metabolism /// 0019346 // transsulfuration,0005737 // cytoplasm,0004123 // cystathionine gamma-lyase activity,,,,,,
YAL013W,,,,,,,,,,,,,YAL013W,YAL013W,,Hs.57732 // full length,,5600,,,,,,,,,,,,0006357 // regulation of transcription from Pol II promoter /// 0006644 // phospholipid metabolism,0008372 // cellular_component unknown,0005554 // molecular_function unknown,,,,,,
YAL014C,,,,,,,,,,,,,YAL014C,YAL014C,,Hs.79474 // full length,,7531,,,,,,,,,,,,0006810 // transport /// 0006810 // transport,0005768 // endosome,0005484 // SNAP receptor activity,,,,,,
YAL015C,,,,,,,,,,,,,YAL015C,YAL015C,,Hs.203475 // full length,,8850,,,,,,,,,,,,"0006281 // DNA repair /// 0006284 // base-excision repair /// 0006285 // base-excision repair, AP site formation",0005634 // nucleus /// 0005739 // mitochondrion /// 0005739 // mitochondrion,0000703 // pyrimidine-specific oxidized base lesion DNA N-glycosylase activity /// 0000703 // pyrimidine-specific oxidized base lesion DNA N-glycosylase activity /// 0003906 // DNA-(apurinic or apyrimidinic site) lyase activity /// 0008534 // purine-specific oxidized base lesion DNA N-glycosylase activity,,,,,,
YAL016W,,,,,,,,,,,,,YAL016W,YAL016W,,Hs.167700 // full length,,4090,,,,,,,,,,,,0006412 // protein biosynthesis /// 0006470 // protein amino acid dephosphorylation /// 0007015 // actin filament organization /// 0007094 // mitotic spindle checkpoint /// 0007117 // budding cell bud growth,0000159 // protein phosphatase type 2A complex /// 0005634 // nucleus /// 0005737 // cytoplasm /// 0005816 // spindle pole body /// 0005934 // bud tip /// 0005935 // bud neck /// 0005937 // shmoo tip,0000158 // protein phosphatase type 2A activity,,,,,,
YAL017W,,,,,,,,,,,,,YAL017W,YAL017W,,Hs.290921 // full length,,5428,,,,,,,,,,,,0006468 // protein amino acid phosphorylation /// 0006468 // protein amino acid phosphorylation /// 0019318 // hexose metabolism /// 0019318 // hexose metabolism,0005737 // cytoplasm,0004674 // protein serine/threonine kinase activity /// 0004674 // protein serine/threonine kinase activity /// 0004674 // protein serine/threonine kinase activity
YAL018C,,,,,,,,,,,,,YAL018C,YAL018C,,Hs.36566 // full length,,3984,,,,,,,,,,,,0000004 // biological_process unknown,0008372 // cellular_component unknown,0005554 // molecular_function unknown
YAL019W,,,,,,,,,,,,,YAL019W,YAL019W,,Hs.336046 // full length,,3598,,,,,,,,,,,,0007001 // chromosome organization and biogenesis (sensu Eukaryota),0005634 // nucleus /// 0005739 // mitochondrion,0005554 // molecular_function unknown
YAL020C,,,,,,,,,,,,,YAL020C,YAL020C,,--- // ---,,---,,,,,,,,,,,,0000226 // microtubule cytoskeleton organization and biogenesis /// 0000226 // microtubule cytoskeleton organization and biogenesis /// 0007017 // microtubule-based process /// 0007017 // microtubule-based process /// 0007117 // budding cell bud growth /// 0007117 // budding cell bud growth,0005737 // cytoplasm,0005554 // molecular_function unknown
YAL021C,,,,,,,,,,,,,YAL021C,YAL021C,,Hs.91985 // full length,,7480,,,,,,,,,,,,"0000288 // mRNA catabolism, deadenylylation-dependent decay /// 0000288 // mRNA catabolism, deadenylylation-dependent decay /// 0000288 // mRNA catabolism, deadenylylation-dependent decay /// 0000289 // poly(A) tail shortening /// 0000289 // poly(A) tail shortening /// 0006357 // regulation of transcription from Pol II promoter /// 0007089 // traversing start control point of mitotic cell cycle",0005737 // cytoplasm /// 0030015 // CCR4-NOT core complex,0000175 // 3'-5'-exoribonuclease activity
YAL022C,,,,,,,,,,,,,YAL022C,YAL022C,,Hs.91985 // full length,,7480,,,,,,,,,,,,0015858 // nucleoside transport,0005622 // intracellular /// 0016020 // membrane,0005337 // nucleoside transporter activity
YAL023C,,,,,,,,,,,,,YAL023C,YAL023C,,Hs.439530 // full length,,8798,,,,,,,,,,,,0006493 // O-linked glycosylation /// 0006493 // O-linked glycosylation,0005783 // endoplasmic reticulum,0004169 // dolichyl-phosphate-mannose-protein mannosyltransferase activity /// 0004169 // dolichyl-phosphate-mannose-protein mannosyltransferase activity
YAL024C,,,,,,,,,,,,,YAL024C,YAL024C,,Hs.135471 // full length,,10519,,,,,,,,,,,,0007096 // regulation of exit from mitosis,0005933 // bud,0005085 // guanyl-nucleotide exchange factor activity
YAL025C,,,,,,,,,,,,,YAL025C,YAL025C,,Hs.856 // full length,,3458,,,,,,,,,,,,0030383 // host-pathogen interaction /// 0042273 // ribosomal large subunit biogenesis,0005730 // nucleolus,0005554 // molecular_function unknown
YAL026C,,,,,,,,,,,,,YAL026C,YAL026C,,Hs.93907 // full length,,3448,,,,,,,,,,,,0006886 // intracellular protein transport /// 0006892 // post-Golgi transport /// 0006892 // post-Golgi transport /// 0030490 // processing of 20S pre-rRNA,0000139 // Golgi membrane /// 0005886 // plasma membrane /// 0030140 // trans-Golgi network transport vesicle,0004012 // phospholipid-translocating ATPase activity /// 0016887 // ATPase activity
YAL027W,,,,,,,,,,,,,YAL027W,YAL027W,,Hs.2303 // full length,,2056,,,,,,,,,,,,0000004 // biological_process unknown,0005634 // nucleus,0005554 // molecular_function unknown
YAL028W,,,,,,,,,,,,,YAL028W,YAL028W,,Hs.72912 // full length,,1543,,,,,,,,,,,,0006950 // response to stress,0005783 // endoplasmic reticulum,0005554 // molecular_function unknown
YAL029C,,,,,,,,,,,,,YAL029C,YAL029C,,Hs.72912 // full length,,1543,,,,,,,,,,,,0008298 // intracellular mRNA localization /// 0048309 // endoplasmic reticulum inheritance,0005739 // mitochondrion /// 0030478 // actin cap,0000146 // microfilament motor activity
YAL030W,,,,,,,,,,,,,YAL030W,YAL030W,,Hs.390171 // full length,,1302,,,,,,,,,,,,0006893 // Golgi to plasma membrane transport /// 0006897 // endocytosis /// 0006906 // vesicle fusion,0030133 // transport vesicle,0005485 // v-SNARE activity
YAL031C,,,,,,,,,,,,,YAL031C,YAL031C,,--- // ---,,---,,,,,,,,,,,,0000004 // biological_process unknown,0005737 // cytoplasm,0005554 // molecular_function unknown
YAL032C,,,,,,,,,,,,,YAL032C,YAL032C,,Hs.435124 // full length,,7156,,,,,,,,,,,,0045944 // positive regulation of transcription from Pol II promoter,0005634 // nucleus,0016563 // transcriptional activator activity
YAL033W,,,,,,,,,,,,,YAL033W,YAL033W,,Hs.29877 // full length,,7294,,,,,,,,,,,,0006364 // rRNA processing /// 0008033 // tRNA processing,0000172 // ribonuclease MRP complex /// 0005655 // nucleolar ribonuclease P complex,0000171 // ribonuclease MRP activity /// 0004526 // ribonuclease P activity
YAL034C,,,,,,,,,,,,,YAL034C,YAL034C,,Hs.523595 // ---,,10114,,,,,,,,,,,,0000004 // biological_process unknown,0008372 // cellular_component unknown,0005554 // molecular_function unknown
YAL034W-A,,,,,,,,,,,,,YAL034W-A,YAL034W-A,,Hs.253536 // full length,,7150,,,,,,,,,,,,0007059 // chromosome segregation,0000818 // MIND complex /// 0000922 // spindle pole,0005554 // molecular_function unknown
YAL035C-A,,,,,,,,,,,,,YAL035C-A,YAL035C-A,,Hs.369358 // full length,,6732,,,,,,,,,,,,---,---,---
YAL035W,,,,,,,,,,,,,YAL035W,YAL035W,,Hs.846 // full length,,3579,,,,,,,,,,,,0006413 // translational initiation,0005739 // mitochondrion /// 0005843 // cytosolic small ribosomal subunit (sensu Eukaryota),0003743 // translation initiation factor activity /// 0003924 // GTPase activity /// 0003924 // GTPase activity
YAL036C,,,,,,,,,,,,,YAL036C,YAL036C,,Hs.846 // full length,,3579,,,,,,,,,,,,0000004 // biological_process unknown,0005737 // cytoplasm,0005525 // GTP binding
YAL037W,,,,,,,,,,,,,YAL037W,YAL037W,,Hs.245188 // full length,,7078,,,,,,,,,,,,0000004 // biological_process unknown,0008372 // cellular_component unknown,0005554 // molecular_function unknown
YAL038W,,,,,,,,,,,,,YAL038W,YAL038W,,Hs.245188 // full length,,7078,,,,,,,,,,,,0006090 // pyruvate metabolism /// 0006096 // glycolysis,0005829 // cytosol,0004743 // pyruvate kinase activity /// 0004743 // pyruvate kinase activity
YAL039C,,,,,,,,,,,,,YAL039C,YAL039C,,Hs.168132 // full length,,3600,,,,,,,,,,,,0018063 // cytochrome c-heme linkage,0005758 // mitochondrial intermembrane space,0004408 // holocytochrome-c synthase activity
YAL040C,,,,,,,,,,,,,YAL040C,YAL040C,,Hs.512660 // full length,,574,,,,,,,,,,,,"0000079 // regulation of cyclin dependent protein kinase activity /// 0000082 // G1/S transition of mitotic cell cycle /// 0007033 // vacuole organization and biogenesis /// 0042145 // homotypic vacuole fusion, non-autophagic /// 0042145 // homotypic vacuole fusion, non-autophagic",0005634 // nucleus /// 0005634 // nucleus /// 0005634 // nucleus /// 0005634 // nucleus,0016538 // cyclin-dependent protein kinase regulator activity
YAL041W,,,,,,,,,,,,,YAL041W,YAL041W,,Hs.180866 // full length,,3459,,,,,,,,,,,,0000750 // signal transduction during conjugation with cellular fusion /// 0000750 // signal transduction during conjugation with cellular fusion /// 0000750 // signal transduction during conjugation with cellular fusion /// 0000753 // cellular morphogenesis during conjugation with cellular fusion /// 0000753 // cellular morphogenesis during conjugation with cellular fusion /// 0001403 // invasive growth (sensu Saccharomyces) /// 0006033 // chitin localization /// 0007118 // budding cell apical bud growth /// 0007119 // budding cell isotropic bud growth /// 0007124 // pseudohyphal growth /// 0007264 // small GTPase mediated signal transduction /// 0030468 // establishment of cell polarity (sensu Fungi),0000131 // incipient bud site /// 0005634 // nucleus /// 0005935 // bud neck /// 0005937 // shmoo tip,0004871 // signal transducer activity /// 0005089 // Rho guanyl-nucleotide exchange factor activity
